Vernier Format 2
Bandlücke-Si_try.txt 20.10.2014 17:58:13 ,
Latest
Time	Winkel	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

37	-35,890703501	0,031746	3,2906	-968,321755967	-1,27953337035
37,5	-36,216718611	0,03663	3,34676	-975,920111923	-1,26957113073
38	-36,673674216	0,0976801	3,37485	-986,51703024	-1,25593371632
38,5	-37,261035865	0,17094	3,33944	-1000,04583983	-1,23894320705
39	-37,521847953	0,2442	3,20269	-1006,01956294	-1,23158638822
39,5	-38,04400658	0,3663	2,97924	-1017,91648275	-1,217192197
40	-38,37002169	0,512821	2,73382	-1025,30163917	-1,20842486998
40,5	-38,826977295	0,623932	2,43223	-1035,59703922	-1,19641130003
41	-39,088323834	0,747253	2,14652	-1041,45571748	-1,18968092373
41,5	-39,675151032	0,860806	1,91209	-1054,53165141	-1,17492917196
42	-40,132106637	0,916972	1,65079	-1064,63719444	-1,16377673678
42,5	-40,458656198	0,98779	1,45543	-1071,81736641	-1,1559805232
43	-40,980814825	1,0464	1,26862	-1083,22614988	-1,14380547418
43,5	-41,241626913	1,05128	1,10623	-1088,89107082	-1,13785486281
44	-41,76378554	1,07082	0,908425	-1100,16459963	-1,126195117
44,5	-42,285944167	1,09402	0,758242	-1111,34675619	-1,1148635591
45	-42,546756255	1,12454	0,638584	-1116,89760386	-1,10932282039
45,5	-43,134117904	1,0928	0,490842	-1129,31346313	-1,09712674155
46	-43,32972697	1,12454	0,385836	-1133,42203783	-1,09314973473
46,5	-43,917088619	1,11111	0,269841	-1145,67940597	-1,08145436982
47	-44,177900707	1,09524	0,166056	-1151,08364341	-1,07637703575
47,5	-44,765262356	1,10134	0,117216	-1163,16673996	-1,06519551964
48	-44,961405873	1,06227	0,0805861	-1167,1746053	-1,06153783193
48,5	-45,548233071	1,05128	0,0573871	-1179,08357403	-1,05081609759
49	-46,070391698	1,04396	0,0683761	-1189,57621779	-1,04154738593
49,5	-46,331738237	0,997558	0,043956	-1194,79086377	-1,0370015687
50	-46,788159391	0,98779	0,045177	-1203,83815159	-1,02920811935
50,5	-47,114708952	0,981685	0,0598291	-1210,26424754	-1,02374337053
51	-47,636867579	0,932845	0,031746	-1220,45791532	-1,01519272762
51,5	-47,897679667	0,927961	0,0512821	-1225,5116257	-1,01100632097
52	-48,419838294	0,907204	0,042735	-1235,55298643	-1,00278985491
52,5	-48,941996921	0,873016	0,029304	-1245,49173047	-0,994787817285
53	-49,202809009	0,874237	0,035409	-1250,41732949	-0,990869184853
53,5	-49,790170658	0,846154	0,045177	-1261,41498678	-0,982230283438
54	-50,050982746	0,821734	0,031746	-1266,25595484	-0,978475161568
54,5	-50,573141373	0,809524	0,0500611	-1275,86886233	-0,971102937442
55	-50,834487912	0,776557	0,029304	-1280,64049411	-0,96748463421
55,5	-51,356112088	0,769231	0,039072	-1290,08448122	-0,960402220195
56	-51,682661649	0,746032	0,040293	-1295,94227675	-0,956061101042
56,5	-52,204820276	0,73138	0,018315	-1305,22144664	-0,94926420585
57	-52,66124143	0,722833	0,0549451	-1313,24364534	-0,943465444811
57,5	-52,987790991	0,667888	0,020757	-1318,93207018	-0,939396370754
58	-53,444746596	0,656899	0,040293	-1326,8201779	-0,933811544804
58,5	-53,770761706	0,620269	0,037851	-1332,39639541	-0,929903446352
59	-54,292920333	0,561661	0,026862	-1341,23753375	-0,923773730474
59,5	-54,880281982	0,564103	0,034188	-1351,0495194	-0,917064831607
60	-55,075891048	0,547009	0,040293	-1354,28574002	-0,914873400335
60,5	-55,663252697	0,512821	0,02442	-1363,90823306	-0,908418887699
61	-55,858861763	0,512821	0,03663	-1367,08104602	-0,9063105685
61,5	-56,446223412	0,489621	0,034188	-1376,51224953	-0,900100961998
62	-56,642366929	0,482295	0,02442	-1379,62953433	-0,898067176129
62,5	-57,229194127	0,471306	0,0561661	-1388,85921511	-0,892099059803
63	-57,425337644	0,454212	0,02442	-1391,91174256	-0,890142644905
63,5	-58,012699293	0,446886	0,046398	-1400,95498597	-0,884396723955
64	-58,534323469	0,440781	0,045177	-1408,86270731	-0,87943274641
64,5	-58,86087303	0,421245	0,0525031	-1413,75374395	-0,876390252052
65	-59,317828635	0,41514	0,0610501	-1420,52086535	-0,872215276959
65,5	-59,643843745	0,382173	0,0561661	-1425,29366776	-0,869294537696
66	-60,10079935	0,389499	0,0683761	-1431,90571192	-0,865280436894
66,5	-60,688160999	0,357753	0,0695971	-1440,27086893	-0,860254849786
67	-60,883770065	0,344322	0,0671551	-1443,02316339	-0,858614075945
67,5	-61,536334736	0,34188	0,0732601	-1452,0831707	-0,853256910483
68	-61,66674078	0,307692	0,0708181	-1453,87114368	-0,852207573816
68,5	-62,319305451	0,312576	0,0659341	-1462,70501112	-0,847060747436
69	-62,841464078	0,296703	0,0818071	-1469,63695458	-0,843065354435
69,5	-63,102276166	0,273504	0,047619	-1473,05370496	-0,841109863018
70	-63,624434793	0,277167	0,0818071	-1479,80241125	-0,837273943185
70,5	-63,885781332	0,252747	0,0671551	-1483,13410151	-0,835393103522
71	-64,14659342	0,238095	0,0634921	-1486,42821513	-0,833541766355
71,5	-64,668752047	0,235653	0,0683761	-1492,93056631	-0,829911335434
72	-65,125707652	0,199023	0,0598291	-1498,51923911	-0,826816211405
72,5	-65,516925784	0,213675	0,0586081	-1503,22820719	-0,824226151475
73	-65,973881389	0,200244	0,0781441	-1508,63968349	-0,821269660051
73,5	-66,234693477	0,173382	0,046398	-1511,68534583	-0,819615010108
74	-66,756852104	0,181929	0,0622711	-1517,68871777	-0,816372939651
74,5	-67,344213753	0,177045	0,0573871	-1524,291077	-0,812836877875
75	-67,605025841	0,142857	0,0500611	-1527,17147224	-0,811303787769
75,5	-68,127184468	0,164835	0,0659341	-1532,84301046	-0,808301953652
76	-68,322793534	0,128205	0,04884	-1534,93490661	-0,807200354014
76,5	-68,910155183	0,142857	0,0586081	-1541,10869973	-0,803966650902
77	-69,171501722	0,124542	0,0561661	-1543,80370365	-0,802563173716
77,5	-69,693660349	0,118437	0,047619	-1549,0919483	-0,7998234071
78	-69,954472437	0,118437	0,0512821	-1551,68521068	-0,798486697863
78,5	-70,541834086	0,0989011	0,0610501	-1557,40754569	-0,79555284256
79	-70,867849196	0,0842491	0,035409	-1560,51313226	-0,793969608063
79,5	-71,259601779	0,108669	0,0647131	-1564,1780861	-0,792109294341
80	-71,781760406	0,0952381	0,0537241	-1568,94930721	-0,789700466616
80,5	-72,107775516	0,0805861	0,040293	-1571,86221546	-0,788237027273
81	-72,564731121	0,105006	0,0610501	-1575,85938539	-0,786237662756
81,5	-72,890746231	0,0671551	0,047619	-1578,64991552	-0,784847855006
82	-73,347701836	0,0927961	0,0561661	-1582,47518646	-0,782950665262
82,5	-74,000266507	0,0866911	0,0537241	-1587,76337384	-0,780342978313
83	-74,195875573	0,0732601	0,04884	-1589,30843951	-0,779584358326
83,5	-74,783237222	0,0952381	0,0622711	-1593,83646418	-0,777369590822
84	-75,044583761	0,0879121	0,0586081	-1595,79739191	-0,776414353279
84,5	-75,566742388	0,0915751	0,0512821	-1599,61576076	-0,774561010459
85	-75,827554476	0,0927961	0,0818071	-1601,47325843	-0,773662621888
85,5	-76,349713103	0,0927961	0,0537241	-1605,09230002	-0,771918225505
86	-76,87187173	0,107448	0,0744811	-1608,57803347	-0,770245505174
86,5	-77,132683818	0,118437	0,0732601	-1610,26910319	-0,769436610033
Vernier Format 2
Bandlücke-Si_try.txt 20.10.2014 17:58:13 ,
Latest 2
Time	Winkel	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

 	 	 	 	 	 
