x in Angstrom	y
5201,0000	-214,1681
5202,0000	-214,1681
5203,0000	-214,1681
5204,0000	-214,1681
5205,0000	-214,1681
5206,0000	-214,1681
5207,0000	-214,1681
5208,0000	-214,1681
5209,0000	-214,1681
5210,0000	-214,1681
5211,0000	-214,1681
5212,0000	-214,1681
5213,0000	-214,1681
5214,0000	-214,1681
5215,0000	-214,1681
5216,0000	-214,1681
5217,0000	-214,1681
5218,0000	-214,1681
5219,0000	-214,1681
5220,0000	-214,1681
5221,0000	-214,1681
5222,0000	-214,1681
5223,0000	-214,1681
5224,0000	-214,1681
5225,0000	-214,1681
5226,0000	-214,1681
5227,0000	-214,1681
5228,0000	-214,1681
5229,0000	-214,1681
5230,0000	-214,1681
5231,0000	-214,1681
5232,0000	-214,1681
5233,0000	-214,1681
5234,0000	-214,1681
5235,0000	-214,1681
5236,0000	-214,1681
5237,0000	-214,1681
5238,0000	-214,1681
5239,0000	-214,1681
5240,0000	-214,1681
5241,0000	-214,1681
5242,0000	-214,1681
5243,0000	-214,1681
5244,0000	-214,1681
5245,0000	-214,1681
5246,0000	-214,1681
5247,0000	-214,1681
5248,0000	-214,1681
5249,0000	-214,1681
5250,0000	-214,1681
5251,0000	-214,1681
5252,0000	-214,1681
5253,0000	-214,1681
5254,0000	-214,1681
5255,0000	-214,1681
5256,0000	-214,1681
5257,0000	-214,1681
5258,0000	-214,1681
5259,0000	-214,1681
5260,0000	-214,1681
5261,0000	-214,1681
5262,0000	-214,1681
5263,0000	-214,1681
5264,0000	-214,1681
5265,0000	-214,1681
5266,0000	-214,1681
5267,0000	-214,1681
5268,0000	-214,1681
5269,0000	-214,1681
5270,0000	-214,1681
5271,0000	-214,1681
5272,0000	-214,1681
5273,0000	-214,1681
5274,0000	-214,1681
5275,0000	-214,1681
5276,0000	-214,1681
5277,0000	-214,1681
5278,0000	-214,1681
5279,0000	-214,1681
5280,0000	-214,1681
5281,0000	-214,1681
5282,0000	-214,1681
5283,0000	-214,1681
5284,0000	-214,1681
5285,0000	-214,1681
5286,0000	-214,1681
5287,0000	-214,1681
5288,0000	-214,1681
5289,0000	-214,1681
5290,0000	-214,1681
5291,0000	-214,1681
5292,0000	-214,1681
5293,0000	-214,1681
5294,0000	-214,1681
5295,0000	-214,1681
5296,0000	-214,1681
5297,0000	-214,1681
5298,0000	-214,1681
5299,0000	-214,1681
5300,0000	-214,1681
5301,0000	-214,1681
5302,0000	-214,1681
5303,0000	-214,1681
5304,0000	-214,1681
5305,0000	-214,1681
5306,0000	-214,1681
5307,0000	-214,1681
5308,0000	-214,1681
5309,0000	-214,1681
5310,0000	-214,1681
5311,0000	-214,1681
5312,0000	-214,1681
5313,0000	-214,1681
5314,0000	-214,1681
5315,0000	-214,1681
5316,0000	-214,1681
5317,0000	-214,1681
5318,0000	-214,1681
5319,0000	-214,1681
5320,0000	-214,1681
5321,0000	-214,1681
5322,0000	-214,1681
5323,0000	-214,1681
5324,0000	-214,1681
5325,0000	-214,1681
5326,0000	-214,1681
5327,0000	-214,1681
5328,0000	-214,1681
5329,0000	-214,1681
5330,0000	-214,1681
5331,0000	-214,1681
5332,0000	-214,1681
5333,0000	-214,1681
5334,0000	-214,1681
5335,0000	-214,1681
5336,0000	-214,1681
5337,0000	-214,1681
5338,0000	-214,1681
5339,0000	-214,1681
5340,0000	-214,1681
5341,0000	-214,1681
5342,0000	-214,1681
5343,0000	-214,1681
5344,0000	-214,1681
5345,0000	-214,1681
5346,0000	-214,1681
5347,0000	-214,1681
5348,0000	-214,1681
5349,0000	-214,1681
5350,0000	-214,1681
5351,0000	-214,1681
5352,0000	-214,1681
5353,0000	-214,1681
5354,0000	-214,1681
5355,0000	-214,1681
5356,0000	-214,1681
5357,0000	-214,1681
5358,0000	-214,1681
5359,0000	-214,1681
5360,0000	-214,1681
5361,0000	-214,1681
5362,0000	-214,1681
5363,0000	-214,1681
5364,0000	-214,1681
5365,0000	-214,1681
5366,0000	-214,1681
5367,0000	-214,1681
5368,0000	-214,1681
5369,0000	-214,1681
5370,0000	-214,1681
5371,0000	-214,1681
5372,0000	-214,1681
5373,0000	-214,1681
5374,0000	-214,1681
5375,0000	-214,1681
5376,0000	-214,1681
5377,0000	-214,1681
5378,0000	-214,1681
5379,0000	-214,1681
5380,0000	-214,1681
5381,0000	-214,1681
5382,0000	-214,1681
5383,0000	-214,1681
5384,0000	-214,1681
5385,0000	-214,1681
5386,0000	-214,1681
5387,0000	-214,1681
5388,0000	-214,1681
5389,0000	-214,1681
5390,0000	-214,1681
5391,0000	-214,1681
5392,0000	-214,1681
5393,0000	-214,1681
5394,0000	-214,1681
5395,0000	-214,1681
5396,0000	-214,1681
5397,0000	-214,1681
5398,0000	-214,1681
5399,0000	-214,1681
5400,0000	-214,1681
5401,0000	-214,1681
