SpectraSuite Datei
++++++++++++++++++++++++++++++++++++
Datum: Fri Jan 02 02:00:20 CET 2004
Benutzer: Student
Dark-Spektrum vorhanden: Nein
Referenz-Spektrum vorhanden: Nein
Zahl der probierten Teilspektren: 1
Spektrometer: USB2+H04734
Integrationszeit (usec): 30000000 (USB2+H04734)
Spektren Durchschnitt berechnet: 10 (USB2+H04734)
Boxcar Glättung: 0 (USB2+H04734)
Dunkelstromkorrektur: Nein (USB2+H04734)
Puls/Lampe aktiviert: Nein (USB2+H04734)
Correct for Detector Non-linearity: Nein (USB2+H04734)
Streulichtkorrektur: Nein (USB2+H04734)
Anzahl Pixel in verarbeitetem Spektrum: 2048
>>>>>Begin Processed Spectral Data<<<<<
418,45	1363,81
418,57	1363,81
418,69	1363,81
418,80	1287,65
418,92	1256,01
419,04	7553,70
419,16	3660,69
419,28	3791,76
419,40	3298,44
419,52	3851,88
419,64	3182,52
419,75	3336,41
419,87	3502,28
419,99	3031,11
420,11	3286,24
420,23	3524,20
420,35	4772,76
420,47	3956,73
420,58	3263,87
420,70	4129,16
420,82	3825,21
420,94	4650,50
421,06	6030,80
421,18	4768,91
421,29	4175,03
421,41	3462,96
421,53	4172,32
421,65	5400,31
421,77	5310,37
421,89	4117,41
422,00	6357,57
422,12	3954,25
422,24	3748,60
422,36	5794,65
422,48	5654,77
422,59	4161,02
422,71	5341,78
422,83	3392,91
422,95	3736,62
423,07	5018,40
423,18	6260,85
423,30	5405,96
423,42	3735,27
423,54	4278,53
423,66	3750,86
423,77	4526,21
423,89	3940,91
424,01	3584,99
424,13	3288,73
424,25	3554,71
424,36	4686,66
424,48	4356,50
424,60	3923,29
424,72	6060,18
424,84	3914,02
424,95	5697,93
425,07	4377,51
425,19	4358,98
425,31	4639,20
425,42	3314,04
425,54	4939,08
425,66	4691,85
425,78	3766,68
425,89	4300,90
426,01	3865,89
426,13	4091,64
426,25	5729,57
426,36	3965,77
426,48	4975,91
426,60	5141,56
426,72	4062,49
426,83	5211,39
426,95	4868,57
427,07	4099,33
427,19	6994,84
427,30	4364,86
427,42	3231,78
427,54	3494,37
427,66	3984,08
427,77	3642,84
427,89	4523,27
428,01	4834,00
428,12	4914,67
428,24	3245,79
428,36	3474,03
428,48	3214,38
428,59	3392,68
428,71	4377,74
428,83	3348,16
428,94	3799,00
429,06	3779,79
429,18	4981,79
429,30	4267,01
429,41	3814,59
429,53	5383,81
429,65	5176,59
429,76	4787,22
429,88	3755,38
430,00	4680,33
430,11	5841,88
430,23	3944,76
430,35	6433,50
430,47	3826,79
430,58	3413,24
430,70	5373,42
430,82	4632,19
430,93	9071,40
431,05	4370,28
431,17	4087,35
431,28	5442,12
431,40	3590,64
431,52	6485,25
431,63	3323,98
431,75	3288,28
431,87	3970,29
431,98	5328,67
432,10	4392,20
432,22	3951,99
432,33	5748,55
432,45	4250,74
432,56	4410,05
432,68	5112,86
432,80	3828,60
432,91	5170,26
433,03	4424,52
433,15	5875,33
433,26	4533,44
433,38	4030,85
433,50	3105,68
433,61	5392,40
433,73	6125,94
433,84	4038,09
433,96	3410,53
434,08	4175,26
434,19	3945,43
434,31	3913,80
434,43	4340,68
434,54	4134,81
434,66	3161,50
434,77	3133,25
434,89	5173,65
435,01	4589,71
435,12	3418,22
435,24	3840,13
435,35	3748,60
435,47	6701,52
435,59	4211,19
435,70	3592,90
435,82	4192,88
435,93	5568,89
436,05	4410,05
436,17	3998,54
436,28	4856,60
436,40	4657,50
436,51	3408,50
436,63	4001,02
436,74	5534,09
436,86	6466,72
436,98	10787,29
437,09	3909,05
437,21	5220,88
437,32	3457,99
437,44	5129,58
437,55	3780,24
437,67	14716,45
437,79	7708,05
437,90	4754,23
438,02	3609,17
438,13	38490,97
438,25	5987,41
438,36	5229,24
438,48	4742,93
438,59	5606,18
438,71	4464,52
438,83	3652,33
438,94	3351,78
439,06	5686,86
439,17	5384,49
439,29	3663,41
439,40	4349,72
439,52	3930,29
439,63	4822,25
439,75	3400,14
439,86	3306,58
439,98	4208,93
440,09	5289,58
440,21	4090,51
440,32	3752,44
440,44	3100,71
440,55	4224,30
440,67	3815,04
440,78	5796,91
440,90	3451,89
441,01	3855,27
441,13	3479,00
441,24	4645,75
441,36	6036,68
441,47	3612,33
441,59	5316,70
441,70	3334,83
441,82	5406,86
441,93	4724,62
442,05	3090,09
442,16	3628,83
442,28	3143,42
442,39	4098,65
442,51	5201,67
442,62	3779,11
442,74	5323,02
442,85	4064,07
442,97	6911,23
443,08	5175,23
443,20	5044,84
443,31	4641,23
443,43	3719,68
443,54	4696,60
443,66	3111,33
443,77	3577,31
443,88	3159,01
444,00	4394,23
444,11	5239,41
444,23	5903,80
444,34	3428,16
444,46	3429,51
444,57	5943,57
444,69	5530,70
444,80	4716,26
444,91	7683,64
445,03	3257,99
445,14	5354,21
445,26	3111,78
445,37	3343,64
445,49	4336,61
445,60	5793,75
445,71	6555,31
445,83	4149,04
445,94	3362,17
446,06	5411,61
446,17	3270,42
446,29	2892,81
