Time in s	CH II in Volt	
0.E+0	-8.00E-04	
1.E-4	-4.00E-04	
2.E-4	-1.20E-03	
3.E-4	-8.00E-04	
4.E-4	-8.00E-04	
5.E-4	-8.00E-04	
6.E-4	-8.00E-04	
7.E-4	-8.00E-04	
8.E-4	-1.20E-03	
9.E-4	-1.20E-03	
1.E-3	-4.00E-04	
1.1E-3	-8.00E-04	
1.2E-3	-4.00E-04	
1.3E-3	-8.00E-04	
1.4E-3	-8.00E-04	
1.5E-3	-8.00E-04	
1.6E-3	0.00E+00	
1.7E-3	-4.00E-04	
1.8E-3	-4.00E-04	
1.9E-3	-4.00E-04	
2.E-3	-4.00E-04	
2.1E-3	-4.00E-04	
2.2E-3	4.00E-04	
2.3E-3	-4.00E-04	
2.4E-3	-4.00E-04	
2.5E-3	4.00E-04	
2.6E-3	0.00E+00	
2.7E-3	4.00E-04	
2.8E-3	4.00E-04	
2.9E-3	4.00E-04	
3.E-3	0.00E+00	
3.1E-3	4.00E-04	
3.2E-3	0.00E+00	
3.3E-3	-4.00E-04	
3.4E-3	-4.00E-04	
3.5E-3	-1.20E-03	
3.6E-3	-8.00E-04	
3.7E-3	-4.00E-04	
3.8E-3	-4.00E-04	
3.9E-3	-8.00E-04	
4.E-3	-1.20E-03	
4.1E-3	-4.00E-04	
4.2E-3	-4.00E-04	
4.3E-3	-8.00E-04	
4.4E-3	4.00E-04	
4.5E-3	0.00E+00	
4.6E-3	0.00E+00	
4.7E-3	4.00E-04	
4.8E-3	4.00E-04	
4.9E-3	8.00E-04	
5.E-3	0.00E+00	
5.1E-3	8.00E-04	
5.2E-3	0.00E+00	
5.3E-3	0.00E+00	
5.4E-3	8.00E-04	
5.5E-3	8.00E-04	
5.6E-3	1.20E-03	
5.7E-3	8.00E-04	
5.8E-3	4.00E-04	
5.9E-3	8.00E-04	
6.E-3	4.00E-04	
6.1E-3	8.00E-04	
6.2E-3	8.00E-04	
6.3E-3	0.00E+00	
6.4E-3	4.00E-04	
6.5E-3	0.00E+00	
6.6E-3	1.20E-03	
6.7E-3	0.00E+00	
6.8E-3	8.00E-04	
6.9E-3	8.00E-04	
7.E-3	0.00E+00	
7.1E-3	-4.00E-04	
7.2E-3	4.00E-04	
7.3E-3	1.20E-03	
7.4E-3	4.00E-04	
7.5E-3	0.00E+00	
7.6E-3	8.00E-04	
7.7E-3	8.00E-04	
7.8E-3	8.00E-04	
7.9E-3	4.00E-04	
8.E-3	8.00E-04	
8.1E-3	1.20E-03	
8.2E-3	1.60E-03	
8.3E-3	1.20E-03	
8.4E-3	2.40E-03	
8.5E-3	2.00E-03	
8.6E-3	1.20E-03	
8.7E-3	1.20E-03	
8.8E-3	8.00E-04	
8.9E-3	0.00E+00	
9.E-3	0.00E+00	
9.1E-3	0.00E+00	
9.2E-3	-4.00E-04	
9.3E-3	0.00E+00	
9.4E-3	0.00E+00	
9.5E-3	0.00E+00	
9.6E-3	4.00E-04	
9.7E-3	4.00E-04	
9.8E-3	8.00E-04	
9.9E-3	8.00E-04	
1.E-2	4.00E-04	
1.01E-2	8.00E-04	
1.02E-2	4.00E-04	
1.03E-2	4.00E-04	
1.04E-2	4.00E-04	
1.05E-2	8.00E-04	
1.06E-2	1.60E-03	
1.07E-2	8.00E-04	
1.08E-2	1.20E-03	
1.09E-2	1.20E-03	
1.1E-2	1.60E-03	
1.11E-2	1.60E-03	
