Time,CH A,
4.82741E-6,2.788E-2,
4.85243E-6,-3.212E-2,
4.87744E-6,2.788E-2,
4.90245E-6,-3.212E-2,
4.92746E-6,2.788E-2,
4.95248E-6,-3.212E-2,
4.97749E-6,2.788E-2,
5.0025E-6,-3.212E-2,
5.02751E-6,2.788E-2,
5.05253E-6,-3.212E-2,
5.07754E-6,2.788E-2,
5.10255E-6,-3.212E-2,
5.12756E-6,7.88E-3,
5.15258E-6,-3.212E-2,
5.17759E-6,7.88E-3,
5.2026E-6,-3.212E-2,
5.22761E-6,2.788E-2,
5.25263E-6,-3.212E-2,
5.27764E-6,2.788E-2,
5.30265E-6,-3.212E-2,
5.32766E-6,2.788E-2,
5.35268E-6,-3.212E-2,
5.37769E-6,7.88E-3,
5.4027E-6,-3.212E-2,
5.42771E-6,7.88E-3,
5.45273E-6,-3.212E-2,
5.47774E-6,2.788E-2,
5.50275E-6,-1.212E-2,
5.52776E-6,7.88E-3,
5.55278E-6,-3.212E-2,
5.57779E-6,7.88E-3,
5.6028E-6,-1.212E-2,
5.62781E-6,2.788E-2,
5.65283E-6,-1.212E-2,
5.67784E-6,2.788E-2,
5.70285E-6,-3.212E-2,
5.72786E-6,2.788E-2,
5.75288E-6,-3.212E-2,
5.77789E-6,2.788E-2,
5.8029E-6,-3.212E-2,
5.82791E-6,2.788E-2,
5.85293E-6,-3.212E-2,
5.87794E-6,7.88E-3,
5.90295E-6,-3.212E-2,
5.92796E-6,2.788E-2,
5.95298E-6,-3.212E-2,
5.97799E-6,7.88E-3,
6.003E-6,-3.212E-2,
6.02801E-6,7.88E-3,
6.05303E-6,-1.212E-2,
6.07804E-6,2.788E-2,
6.10305E-6,-3.212E-2,
6.12806E-6,7.88E-3,
6.15308E-6,-1.212E-2,
6.17809E-6,7.88E-3,
6.2031E-6,-3.212E-2,
6.22811E-6,7.88E-3,
6.25313E-6,-3.212E-2,
6.27814E-6,2.788E-2,
6.30315E-6,-3.212E-2,
6.32816E-6,2.788E-2,
6.35318E-6,-3.212E-2,
6.37819E-6,7.88E-3,
6.4032E-6,-3.212E-2,
6.42821E-6,2.788E-2,
6.45323E-6,-3.212E-2,
6.47824E-6,2.788E-2,
6.50325E-6,-3.212E-2,
6.52826E-6,2.788E-2,
6.55328E-6,-1.212E-2,
6.57829E-6,2.788E-2,
6.6033E-6,-3.212E-2,
6.62831E-6,7.88E-3,
6.65333E-6,-3.212E-2,
6.67834E-6,2.788E-2,
6.70335E-6,-3.212E-2,
6.72836E-6,2.788E-2,
6.75338E-6,-3.212E-2,
6.77839E-6,2.788E-2,
6.8034E-6,-3.212E-2,
6.82841E-6,7.88E-3,
6.85343E-6,-3.212E-2,
6.87844E-6,7.88E-3,
6.90345E-6,-1.212E-2,
6.92846E-6,2.788E-2,
6.95348E-6,-3.212E-2,
6.97849E-6,7.88E-3,
7.0035E-6,-3.212E-2,
7.02851E-6,2.788E-2,
7.05353E-6,-3.212E-2,
7.07854E-6,2.788E-2,
7.10355E-6,-3.212E-2,
7.12856E-6,2.788E-2,
7.15358E-6,-1.212E-2,
7.17859E-6,2.788E-2,
7.2036E-6,-1.212E-2,
7.22861E-6,2.788E-2,
7.25363E-6,-3.212E-2,
7.27864E-6,7.88E-3,
7.30365E-6,-3.212E-2,
7.32866E-6,2.788E-2,
7.35368E-6,-3.212E-2,
7.37869E-6,7.88E-3,
7.4037E-6,-1.212E-2,
7.42871E-6,7.88E-3,
7.45373E-6,-1.212E-2,
7.47874E-6,7.88E-3,
7.50375E-6,-3.212E-2,
7.52876E-6,2.788E-2,
7.55378E-6,-3.212E-2,
7.57879E-6,7.88E-3,
7.6038E-6,-1.212E-2,
7.62881E-6,2.788E-2,
7.65383E-6,-3.212E-2,
7.67884E-6,2.788E-2,
7.70385E-6,-3.212E-2,
7.72886E-6,2.788E-2,
7.75388E-6,-3.212E-2,
7.77889E-6,2.788E-2,
7.8039E-6,-1.212E-2,
7.82891E-6,2.788E-2,
7.85393E-6,-3.212E-2,
7.87894E-6,2.788E-2,
7.90395E-6,-3.212E-2,
7.92896E-6,2.788E-2,
7.95398E-6,-3.212E-2,
7.97899E-6,7.88E-3,
8.004E-6,-1.212E-2,
8.02901E-6,7.88E-3,
8.05403E-6,-1.212E-2,
8.07904E-6,2.788E-2,
8.10405E-6,-3.212E-2,
8.12906E-6,2.788E-2,
8.15408E-6,-1.212E-2,
8.17909E-6,2.788E-2,
8.2041E-6,-3.212E-2,
8.22911E-6,2.788E-2,
8.25413E-6,-1.212E-2,
8.27914E-6,2.788E-2,
8.30415E-6,-3.212E-2,
8.32916E-6,2.788E-2,
8.35418E-6,-3.212E-2,
8.37919E-6,2.788E-2,
8.4042E-6,-3.212E-2,
8.42921E-6,2.788E-2,
8.45423E-6,-1.212E-2,
8.47924E-6,2.788E-2,
8.50425E-6,-1.212E-2,
8.52926E-6,2.788E-2,
8.55428E-6,-3.212E-2,
8.57929E-6,7.88E-3,
8.6043E-6,-3.212E-2,
8.62931E-6,7.88E-3,
8.65433E-6,-3.212E-2,
8.67934E-6,2.788E-2,
8.70435E-6,-1.212E-2,
8.72936E-6,2.788E-2,
8.75438E-6,-1.212E-2,
8.77939E-6,2.788E-2,
8.8044E-6,-3.212E-2,
8.82941E-6,2.788E-2,
8.85443E-6,-1.212E-2,
8.87944E-6,7.88E-3,
8.90445E-6,-3.212E-2,
8.92946E-6,2.788E-2,
8.95448E-6,-3.212E-2,
8.97949E-6,2.788E-2,
9.0045E-6,-1.212E-2,
9.02951E-6,2.788E-2,
9.05453E-6,-3.212E-2,
9.07954E-6,7.88E-3,
9.10455E-6,-3.212E-2,
9.12956E-6,2.788E-2,
9.15458E-6,-1.212E-2,
9.17959E-6,7.88E-3,
9.2046E-6,-1.212E-2,
9.22961E-6,2.788E-2,
9.25463E-6,-3.212E-2,
9.27964E-6,2.788E-2,
9.30465E-6,-3.212E-2,
9.32966E-6,2.788E-2,
9.35468E-6,-3.212E-2,
9.37969E-6,7.88E-3,
9.4047E-6,-1.212E-2,
9.42971E-6,2.788E-2,
9.45473E-6,-3.212E-2,
9.47974E-6,2.788E-2,
9.50475E-6,-3.212E-2,
9.52976E-6,2.788E-2,
9.55478E-6,-3.212E-2,
9.57979E-6,2.788E-2,
9.6048E-6,-3.212E-2,
9.62981E-6,2.788E-2,
9.65483E-6,-3.212E-2,
9.67984E-6,2.788E-2,
9.70485E-6,-3.212E-2,
9.72986E-6,2.788E-2,
9.75488E-6,-3.212E-2,
9.77989E-6,2.788E-2,
9.8049E-6,-1.212E-2,
9.82991E-6,2.788E-2,
9.85493E-6,-1.212E-2,
9.87994E-6,2.788E-2,
9.90495E-6,-3.212E-2,
9.92996E-6,2.788E-2,
9.95498E-6,-1.212E-2,
9.97999E-6,2.788E-2,
1.0005E-5,-3.212E-2,
1.003E-5,2.788E-2,
1.0055E-5,-3.212E-2,
1.008E-5,2.788E-2,
1.01051E-5,-1.212E-2,
1.01301E-5,2.788E-2,
1.01551E-5,-3.212E-2,
1.01801E-5,7.88E-3,
1.02051E-5,-1.212E-2,
1.02301E-5,2.788E-2,
1.02551E-5,-1.212E-2,
1.02801E-5,2.788E-2,
1.03052E-5,-1.212E-2,
1.03302E-5,2.788E-2,
1.03552E-5,-1.212E-2,
1.03802E-5,2.788E-2,
1.04052E-5,-3.212E-2,
1.04302E-5,2.788E-2,
1.04552E-5,-3.212E-2,
1.04802E-5,2.788E-2,
1.05053E-5,-1.212E-2,
1.05303E-5,7.88E-3,
1.05553E-5,-1.212E-2,
1.05803E-5,2.788E-2,
1.06053E-5,-3.212E-2,
1.06303E-5,2.788E-2,
1.06553E-5,-3.212E-2,
1.06803E-5,2.788E-2,
1.07054E-5,-3.212E-2,
1.07304E-5,2.788E-2,
1.07554E-5,-1.212E-2,
1.07804E-5,2.788E-2,
1.08054E-5,-1.212E-2,
1.08304E-5,2.788E-2,
1.08554E-5,-1.212E-2,
1.08804E-5,2.788E-2,
1.09055E-5,-1.212E-2,
1.09305E-5,2.788E-2,
1.09555E-5,-1.212E-2,
1.09805E-5,2.788E-2,
1.10055E-5,-3.212E-2,
1.10305E-5,2.788E-2,
1.10555E-5,-3.212E-2,
1.10805E-5,2.788E-2,
1.11056E-5,-3.212E-2,
1.11306E-5,2.788E-2,
1.11556E-5,-1.212E-2,
1.11806E-5,2.788E-2,
1.12056E-5,-1.212E-2,
1.12306E-5,2.788E-2,
1.12556E-5,-1.212E-2,
1.12806E-5,7.88E-3,
1.13057E-5,-1.212E-2,
1.13307E-5,2.788E-2,
1.13557E-5,-1.212E-2,
1.13807E-5,2.788E-2,
1.14057E-5,-1.212E-2,
1.14307E-5,2.788E-2,
1.14557E-5,-3.212E-2,
1.14807E-5,2.788E-2,
1.15058E-5,-1.212E-2,
1.15308E-5,2.788E-2,
1.15558E-5,-1.212E-2,
1.15808E-5,2.788E-2,
1.16058E-5,-3.212E-2,
1.16308E-5,2.788E-2,
1.16558E-5,-1.212E-2,
1.16808E-5,2.788E-2,
1.17059E-5,-1.212E-2,
1.17309E-5,2.788E-2,
1.17559E-5,-1.212E-2,
1.17809E-5,2.788E-2,
1.18059E-5,-1.212E-2,
1.18309E-5,2.788E-2,
1.18559E-5,-1.212E-2,
1.18809E-5,2.788E-2,
