[s],CH1[V]
3.59920E-01,-4.829E+00
3.59940E-01,-5.029E+00
3.59960E-01,-5.029E+00
3.59980E-01,-5.229E+00
3.60000E-01,-5.229E+00
3.60020E-01,-5.229E+00
3.60040E-01,-5.029E+00
3.60060E-01,-5.029E+00
3.60080E-01,-4.829E+00
3.60100E-01,-5.029E+00
3.60120E-01,-5.029E+00
3.60140E-01,-5.029E+00
3.60160E-01,-5.029E+00
3.60180E-01,-5.029E+00
3.60200E-01,-5.029E+00
3.60220E-01,-5.029E+00
3.60240E-01,-5.229E+00
3.60260E-01,-5.229E+00
3.60280E-01,-5.029E+00
3.60300E-01,-4.829E+00
3.60320E-01,-5.029E+00
3.60340E-01,-5.029E+00
3.60360E-01,-5.029E+00
3.60380E-01,-5.029E+00
3.60400E-01,-5.029E+00
3.60420E-01,-5.029E+00
3.60440E-01,-4.829E+00
3.60460E-01,-5.029E+00
3.60480E-01,-4.829E+00
3.60500E-01,-5.029E+00
3.60520E-01,-5.029E+00
3.60540E-01,-5.029E+00
3.60560E-01,-4.829E+00
3.60580E-01,-5.229E+00
3.60600E-01,-5.029E+00
3.60620E-01,-5.029E+00
3.60640E-01,-5.229E+00
3.60660E-01,-5.029E+00
3.60680E-01,-5.229E+00
3.60700E-01,-5.029E+00
3.60720E-01,-5.029E+00
3.60740E-01,-5.229E+00
3.60760E-01,-4.829E+00
3.60780E-01,-4.829E+00
3.60800E-01,-5.029E+00
3.60820E-01,-4.829E+00
3.60840E-01,-4.829E+00
3.60860E-01,-5.029E+00
3.60880E-01,-5.029E+00
3.60900E-01,-5.029E+00
3.60920E-01,-4.829E+00
3.60940E-01,-5.229E+00
3.60960E-01,-4.829E+00
3.60980E-01,-5.029E+00
3.61000E-01,-5.029E+00
3.61020E-01,-5.029E+00
3.61040E-01,-4.829E+00
3.61060E-01,-5.229E+00
3.61080E-01,-5.029E+00
3.61100E-01,-5.029E+00
3.61120E-01,-4.829E+00
3.61140E-01,-5.029E+00
3.61160E-01,-5.029E+00
3.61180E-01,-5.029E+00
3.61200E-01,-4.829E+00
3.61220E-01,-5.029E+00
3.61240E-01,-5.029E+00
3.61260E-01,-4.829E+00
3.61280E-01,-5.029E+00
3.61300E-01,-5.029E+00
3.61320E-01,-4.829E+00
3.61340E-01,-4.829E+00
3.61360E-01,-5.029E+00
3.61380E-01,-5.029E+00
3.61400E-01,-5.029E+00
3.61420E-01,-4.829E+00
3.61440E-01,-5.029E+00
3.61460E-01,-5.029E+00
3.61480E-01,-4.829E+00
3.61500E-01,-5.029E+00
3.61520E-01,-4.829E+00
3.61540E-01,-5.029E+00
3.61560E-01,-4.829E+00
3.61580E-01,-5.029E+00
3.61600E-01,-5.029E+00
3.61620E-01,-5.029E+00
3.61640E-01,-5.029E+00
3.61660E-01,-5.029E+00
3.61680E-01,-5.029E+00
3.61700E-01,-5.229E+00
3.61720E-01,-4.829E+00
3.61740E-01,-5.029E+00
3.61760E-01,-5.029E+00
3.61780E-01,-5.029E+00
3.61800E-01,-5.029E+00
3.61820E-01,-5.029E+00
3.61840E-01,-5.029E+00
3.61860E-01,-5.029E+00
3.61880E-01,-5.029E+00
3.61900E-01,-5.029E+00
3.61920E-01,-5.029E+00
3.61940E-01,-4.829E+00
3.61960E-01,-5.029E+00
3.61980E-01,-4.829E+00
3.62000E-01,-5.029E+00
3.62020E-01,-5.029E+00
3.62040E-01,-5.029E+00
3.62060E-01,-5.029E+00
3.62080E-01,-5.029E+00
3.62100E-01,-5.029E+00
3.62120E-01,-4.829E+00
3.62140E-01,-5.029E+00
3.62160E-01,-4.829E+00
3.62180E-01,-5.029E+00
3.62200E-01,-5.029E+00
3.62220E-01,-4.829E+00
3.62240E-01,-4.829E+00
3.62260E-01,-5.029E+00
3.62280E-01,-5.029E+00
3.62300E-01,-5.029E+00
3.62320E-01,-5.029E+00
3.62340E-01,-5.029E+00
3.62360E-01,-5.029E+00
3.62380E-01,-5.029E+00
3.62400E-01,-5.029E+00
3.62420E-01,-5.029E+00
3.62440E-01,-5.029E+00
3.62460E-01,-5.029E+00
3.62480E-01,-5.029E+00
3.62500E-01,-5.229E+00
3.62520E-01,-5.029E+00
3.62540E-01,-5.029E+00
3.62560E-01,-5.029E+00
3.62580E-01,-5.029E+00
3.62600E-01,-5.029E+00
3.62620E-01,-4.829E+00
3.62640E-01,-5.029E+00
3.62660E-01,-5.029E+00
3.62680E-01,-5.029E+00
3.62700E-01,-4.829E+00
3.62720E-01,-5.029E+00
3.62740E-01,-5.029E+00
3.62760E-01,-5.029E+00
3.62780E-01,-4.829E+00
3.62800E-01,-5.029E+00
3.62820E-01,-5.029E+00
3.62840E-01,-4.829E+00
3.62860E-01,-5.029E+00
3.62880E-01,-5.029E+00
3.62900E-01,-5.029E+00
3.62920E-01,-5.029E+00
3.62940E-01,-5.229E+00
3.62960E-01,-5.029E+00
3.62980E-01,-4.829E+00
3.63000E-01,-4.829E+00
3.63020E-01,-4.829E+00
3.63040E-01,-4.829E+00
3.63060E-01,-5.029E+00
3.63080E-01,-5.229E+00
3.63100E-01,-5.029E+00
3.63120E-01,-4.829E+00
3.63140E-01,-5.029E+00
3.63160E-01,-4.829E+00
3.63180E-01,-5.029E+00
3.63200E-01,-4.829E+00
3.63220E-01,-5.029E+00
3.63240E-01,-4.829E+00
3.63260E-01,-5.029E+00
3.63280E-01,-5.029E+00
3.63300E-01,-5.029E+00
3.63320E-01,-5.029E+00
3.63340E-01,-4.829E+00
3.63360E-01,-4.829E+00
3.63380E-01,-4.829E+00
3.63400E-01,-5.029E+00
3.63420E-01,-5.029E+00
3.63440E-01,-4.829E+00
3.63460E-01,-4.829E+00
3.63480E-01,-5.029E+00
3.63500E-01,-5.029E+00
3.63520E-01,-4.829E+00
3.63540E-01,-4.829E+00
3.63560E-01,-5.029E+00
3.63580E-01,-5.029E+00
3.63600E-01,-5.029E+00
3.63620E-01,-5.029E+00
3.63640E-01,-5.029E+00
3.63660E-01,-4.829E+00
3.63680E-01,-5.029E+00
3.63700E-01,-5.029E+00
3.63720E-01,-5.029E+00
3.63740E-01,-5.029E+00
3.63760E-01,-5.029E+00
3.63780E-01,-5.029E+00
3.63800E-01,-5.029E+00
3.63820E-01,-5.029E+00
3.63840E-01,-5.029E+00
3.63860E-01,-5.029E+00
3.63880E-01,-5.029E+00
3.63900E-01,-4.829E+00
3.63920E-01,-5.029E+00
3.63940E-01,-5.029E+00
3.63960E-01,-5.029E+00
3.63980E-01,-5.029E+00
3.64000E-01,-4.829E+00
3.64020E-01,-4.829E+00
3.64040E-01,-4.829E+00
3.64060E-01,-5.029E+00
3.64080E-01,-5.029E+00
3.64100E-01,-5.029E+00
3.64120E-01,-5.029E+00
3.64140E-01,-5.029E+00
3.64160E-01,-4.829E+00
3.64180E-01,-5.029E+00
3.64200E-01,-5.029E+00
3.64220E-01,-5.029E+00
3.64240E-01,-4.829E+00
3.64260E-01,-5.029E+00
3.64280E-01,-5.229E+00
3.64300E-01,-4.829E+00
3.64320E-01,-5.029E+00
3.64340E-01,-5.029E+00
3.64360E-01,-5.029E+00
3.64380E-01,-5.029E+00
3.64400E-01,-5.029E+00
3.64420E-01,-5.029E+00
3.64440E-01,-5.029E+00
3.64460E-01,-4.829E+00
3.64480E-01,-5.229E+00
3.64500E-01,-4.829E+00
3.64520E-01,-5.029E+00
3.64540E-01,-5.029E+00
3.64560E-01,-5.029E+00
3.64580E-01,-4.829E+00
3.64600E-01,-5.029E+00
3.64620E-01,-5.029E+00
3.64640E-01,-5.029E+00
3.64660E-01,-5.029E+00
3.64680E-01,-5.029E+00
3.64700E-01,-4.829E+00
3.64720E-01,-5.029E+00
3.64740E-01,-5.029E+00
3.64760E-01,-5.229E+00
3.64780E-01,-5.029E+00
3.64800E-01,-5.029E+00
3.64820E-01,-5.029E+00
3.64840E-01,-5.029E+00
3.64860E-01,-5.029E+00
3.64880E-01,-5.029E+00
3.64900E-01,-5.029E+00
3.64920E-01,-4.829E+00
3.64940E-01,-5.029E+00
3.64960E-01,-5.029E+00
3.64980E-01,-5.029E+00
3.65000E-01,-5.029E+00
3.65020E-01,-4.829E+00
3.65040E-01,-5.029E+00
3.65060E-01,-5.229E+00
3.65080E-01,-5.029E+00
3.65100E-01,-4.829E+00
3.65120E-01,-5.029E+00
3.65140E-01,-4.829E+00
3.65160E-01,-5.029E+00
3.65180E-01,-5.029E+00
3.65200E-01,-5.029E+00
3.65220E-01,-4.829E+00
3.65240E-01,-5.029E+00
3.65260E-01,-5.029E+00
3.65280E-01,-4.829E+00
3.65300E-01,-4.829E+00
3.65320E-01,-4.829E+00
3.65340E-01,-5.029E+00
3.65360E-01,-5.029E+00
3.65380E-01,-5.029E+00
3.65400E-01,-4.829E+00
