[s],CH1[V]
6.12120E-02,8.485E-03
6.12160E-02,8.485E-03
6.12200E-02,8.485E-03
6.12240E-02,8.485E-03
6.12280E-02,8.485E-03
6.12320E-02,4.845E-04
6.12360E-02,8.485E-03
6.12400E-02,8.485E-03
6.12440E-02,2.448E-02
6.12480E-02,4.845E-04
6.12520E-02,8.485E-03
6.12560E-02,8.485E-03
6.12600E-02,8.485E-03
6.12640E-02,1.648E-02
6.12680E-02,8.485E-03
6.12720E-02,8.485E-03
6.12760E-02,8.485E-03
6.12800E-02,1.648E-02
6.12840E-02,8.485E-03
6.12880E-02,1.648E-02
6.12920E-02,8.485E-03
6.12960E-02,8.485E-03
6.13000E-02,1.648E-02
6.13040E-02,1.648E-02
6.13080E-02,8.485E-03
6.13120E-02,8.485E-03
6.13160E-02,1.648E-02
6.13200E-02,2.448E-02
6.13240E-02,2.448E-02
6.13280E-02,8.485E-03
6.13320E-02,2.448E-02
6.13360E-02,1.648E-02
6.13400E-02,1.648E-02
6.13440E-02,1.648E-02
6.13480E-02,1.648E-02
6.13520E-02,1.648E-02
6.13560E-02,1.648E-02
6.13600E-02,8.485E-03
6.13640E-02,8.485E-03
6.13680E-02,4.845E-04
6.13720E-02,8.485E-03
6.13760E-02,4.845E-04
6.13800E-02,4.845E-04
6.13840E-02,4.845E-04
6.13880E-02,4.845E-04
6.13920E-02,4.845E-04
6.13960E-02,4.845E-04
6.14000E-02,-7.515E-03
6.14040E-02,4.845E-04
6.14080E-02,4.845E-04
6.14120E-02,4.845E-04
6.14160E-02,-7.515E-03
6.14200E-02,4.845E-04
6.14240E-02,4.845E-04
6.14280E-02,8.485E-03
6.14320E-02,4.845E-04
6.14360E-02,4.845E-04
6.14400E-02,4.845E-04
6.14440E-02,8.485E-03
6.14480E-02,8.485E-03
6.14520E-02,8.485E-03
6.14560E-02,2.448E-02
6.14600E-02,8.485E-03
6.14640E-02,8.485E-03
6.14680E-02,8.485E-03
6.14720E-02,8.485E-03
6.14760E-02,8.485E-03
6.14800E-02,8.485E-03
6.14840E-02,8.485E-03
6.14880E-02,8.485E-03
6.14920E-02,4.845E-04
6.14960E-02,4.845E-04
6.15000E-02,4.845E-04
6.15040E-02,8.485E-03
6.15080E-02,8.485E-03
6.15120E-02,4.845E-04
6.15160E-02,4.845E-04
6.15200E-02,4.845E-04
6.15240E-02,4.845E-04
6.15280E-02,-7.515E-03
6.15320E-02,4.845E-04
6.15360E-02,4.845E-04
6.15400E-02,-7.515E-03
