Vernier Format 2
lampe_vor_neueinstellung.cmbl 21.10.2014 11:14:24 ,
Latest
Time	Winkel	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

36,5	-60,231205394	0,141636	0,017094	-1433,77597133	-0,864151739727
37	-59,905190284	0,144078	0,023199	-1429,08641781	-0,86698745755
37,5	-59,383031657	0,144078	0,020757	-1421,47911011	-0,871627300876
38	-59,121685118	0,151404	0,018315	-1417,62719082	-0,87399565134
38,5	-58,600060942	0,150183	0,019536	-1409,85100277	-0,878816270345
39	-58,338714403	0,159951	0,01221	-1405,91096094	-0,881279138169
39,5	-58,077902315	0,161172	0,019536	-1401,94981475	-0,883769152763
40	-57,490540666	0,164835	0,010989	-1392,92286836	-0,889496488386
40,5	-57,2949316	0,172161	0,019536	-1389,88408445	-0,891441245975
41	-56,772772973	0,172161	0,014652	-1381,69311565	-0,896725898078
41,5	-56,511426434	0,181929	0,020757	-1377,55030491	-0,899422689378
42	-56,185411324	0,18315	0,017094	-1372,34221478	-0,902836032192
42,5	-55,663252697	0,192918	0,017094	-1363,90823306	-0,908418887699
43	-55,402440609	0,197802	0,017094	-1359,65309341	-0,911261854957
43,5	-54,880281982	0,212454	0,014652	-1351,0495194	-0,917064831607
44	-54,553732421	0,224664	0,020757	-1345,61190799	-0,920770686293
44,5	-54,358123355	0,234432	0,014652	-1342,33373633	-0,923019340472
45	-53,770761706	0,241758	0,02442	-1332,39639541	-0,929903446352
45,5	-53,509949618	0,247863	0,015873	-1327,93886381	-0,933024880709
46	-53,248603079	0,253968	0,019536	-1323,44459722	-0,936193326567
46,5	-52,726978903	0,258852	0,015873	-1314,39221363	-0,942641007113
47	-52,465632364	0,264957	0,017094	-1309,81573495	-0,945934582201
47,5	-51,943473737	0,269841	0,019536	-1300,59061526	-0,952644118342
48	-51,617458627	0,28083	0,019536	-1294,77599255	-0,956922283954
48,5	-51,421849561	0,282051	0,025641	-1291,26708511	-0,959522638105
49	-50,899690934	0,291819	0,015873	-1281,82681337	-0,966589235827
49,5	-50,638344395	0,29304	0,021978	-1277,06181993	-0,970195789008
50	-50,050982746	0,300366	0,015873	-1266,25595484	-0,978475161568
50,5	-49,790170658	0,30525	0,023199	-1261,41498678	-0,982230283438
51	-49,594561592	0,310134	0,018315	-1257,76710236	-0,985079032256
